cleaned,bigram,trigram
xiaomi max october,"['xiaomi max', 'max october']",['xiaomi max october']
xiaomi nyaingi ipong,"['xiaomi nyaingi', 'nyaingi ipong']",['xiaomi nyaingi ipong']
biar lecet bang dikasih plastik kamera,"['biar lecet', 'lecet bang', 'bang dikasih', 'dikasih plastik', 'plastik kamera']","['biar lecet bang', 'lecet bang dikasih', 'bang dikasih plastik', 'dikasih plastik kamera']"
yaah kirain beli casing khusus main game layar belakangnya banghehe,"['yaah kirain', 'kirain beli', 'beli casing', 'casing khusus', 'khusus main', 'main game', 'game layar', 'layar belakangnya', 'belakangnya banghehe']","['yaah kirain beli', 'kirain beli casing', 'beli casing khusus', 'casing khusus main', 'khusus main game', 'main game layar', 'game layar belakangnya', 'layar belakangnya banghehe']"
bg layar nya main game pake casing tambahan semoga review ama bg david,"['bg layar', 'layar nya', 'nya main', 'main game', 'game pake', 'pake casing', 'casing tambahan', 'tambahan semoga', 'semoga review', 'review ama', 'ama bg', 'bg david']","['bg layar nya', 'layar nya main', 'nya main game', 'main game pake', 'game pake casing', 'pake casing tambahan', 'casing tambahan semoga', 'tambahan semoga review', 'semoga review ama', 'review ama bg', 'ama bg david']"
iphone niru poco produknya mi phone,"['iphone niru', 'niru poco', 'poco produknya', 'produknya mi', 'mi phone']","['iphone niru poco', 'niru poco produknya', 'poco produknya mi', 'produknya mi phone']"
coba layar dipakai selfie kamera ya,"['coba layar', 'layar dipakai', 'dipakai selfie', 'selfie kamera', 'kamera ya']","['coba layar dipakai', 'layar dipakai selfie', 'dipakai selfie kamera', 'selfie kamera ya']"
udh fix hp idaman gua xiomi njirbuat org estetik berguna banget layar,"['udh fix', 'fix hp', 'hp idaman', 'idaman gua', 'gua xiomi', 'xiomi njirbuat', 'njirbuat org', 'org estetik', 'estetik berguna', 'berguna banget', 'banget layar']","['udh fix hp', 'fix hp idaman', 'hp idaman gua', 'idaman gua xiomi', 'gua xiomi njirbuat', 'xiomi njirbuat org', 'njirbuat org estetik', 'org estetik berguna', 'estetik berguna banget', 'berguna banget layar']"
iqoo zr bang,"['iqoo zr', 'zr bang']",['iqoo zr bang']
suhunya ngeri ngeri sedap,"['suhunya ngeri', 'ngeri ngeri', 'ngeri sedap']","['suhunya ngeri ngeri', 'ngeri ngeri sedap']"
bang hp ram gpp,"['bang hp', 'hp ram', 'ram gpp']","['bang hp ram', 'hp ram gpp']"
