author,comment,likeCount,publishedAt
@ossa2820,"Apakah xiaomi masih ada iklan yang mengganggu walau sudah di nonaktifkan tapi masih ada nongol iklan, bahkan digalery pun ada iklan, padahal udah di setting biar gak ada iklan. Sbg pengguna xioami saya merasa sudah cukup dan say goodbye",0,2025-10-30T01:43:37Z
@XBADGE394,"Review-nya enak banget ditonton, kayak ngobrol santai tapi tetap informatif 😍 sambil scroll 𝘽𝙀𝙈𝟰𝘿 juga biar gak bosen.",0,2025-10-30T08:53:45Z
@iketutaditirta,antara ini sama vivo x300 pro,0,2025-10-30T07:58:58Z
@MUHAMMADAMIN-gr5sf,"konten yg ditunggu2, ""mendang mending""",0,2025-10-31T03:19:16Z
@rentalgaming4317,Kalo memang ngomongin segala hal tetep kalo merk HP ya Iphone,1,2025-10-30T04:04:23Z
@rickymaulana5080,"dengan harga yang ga nyampe setengahnya ipon 17 pro max, xiaomi ini sungguh sangat worth it.",0,2025-10-30T08:10:31Z
@fendywecast,Itu layar blkgnya bisa buat maen game.. Ada chasing yg game.. Seperti gameboy,0,2025-10-30T05:32:17Z
@luqmanwinata6532,"Xiaomi 17 balas dendam karena iPhone 17 copy desain poco, sama sama lah",45,2025-10-29T18:40:03Z
@rafizamzam3227,bang bahas iqoo z9 vs iqoo z10R,0,2025-10-30T12:31:44Z
@aprilday6893,"ada casing khusus ada tombol kyk game boy ,bisa buat main game dr layar belakang xiaomi 17 pro max",0,2025-10-30T13:58:14Z
@businesscorrie,"Pro max pada Xiaomi buka tiru iphone, Tetapi Xiaomi dengan sengaja nyindir Apple, Xiaomi juga mau kasi tau yang pro max itu harus Keren dan semaksima mungkin..bukan di skip kualitinya.. sekarang ramai yang meluahkan rasa tidak berpuas hati setelah beberapa hari beli iphone kerana kelemahan iphone 17 promax gak ada kualiti lagi dari segi material body nya..bukan saja mudah kemek malah mudah calar dan paling parah warna oren bisa nge pink setelah beberapa hari menggunakannya...jadi yang ingin beli hp ip17 pm..harus beli casing siap-siap kerana jika tidak pakai casing, kebarangkalian untuk kemek calar dan rosak amat tinggi kerana body nya aluminium yang sangat mudah kemek..",0,2025-10-29T20:17:45Z
@Yanasumarna90,Nice,0,2025-10-29T16:04:40Z
@teafrost3041,"soal inovasi mungkin udah bisa nyaingin ip yaa. 
tp kenapa tidak berpikir untuk nyaingin yang bikin orang-orang pilih iphone? kamera utama kamera depan ip semua nya bagus.
klo brand lain mungkin bisa nyaingin kamera utamanya, tapi kamera depan masih kalah dari ip.",0,2025-10-30T22:44:52Z
@ZalfaAbiyyuputra-fw5xm,bang habis itu review Oppo find x9,0,2025-10-29T15:03:52Z
@rullyramadhan7744,"iPhone niru Xiaomi , Xiaomi lebih dulu di varian Xiaomi 11 ultra",7,2025-10-30T01:19:47Z
@mochamaddanan4940,brp harganya ya xiaomi ini?,0,2025-10-30T13:56:03Z
@datvanila2193,Review IQOO x Honor of Kings dong,0,2025-10-29T22:47:53Z
@minimilitia05,"21:35 Asli bang, gua harap semua hp ya bisa ada in fitur ini karena kebanyakan orang suka pake rear camera jadi bingung kalau foto bareng dan yg fotoin juga pingin ikut ke capture jadi ga bisa lihat foto, pas mau di jepret alhasil jadi sebagian ada yg ga masuk frame wkwkwk solusinya ya masih pake tripod sama bluetooth foto yg pake remote 😂",0,2025-10-30T02:46:52Z
@muhammadrifqi2339,akhirnya 😂,0,2025-10-29T23:45:11Z
@ridwanridwan3212,Jangan mudah tertarik kepada xiomi spesifikasi hpnya cuman untuk satu tahun udah make dua tahun muncul penyakit 😂😂,0,2025-10-30T09:54:19Z
@Daehan_Minguk,Mau sebagus apapun HP CHINA 15jt jelas mahal lah... hrga masuk akal dbwh 10jt😅,0,2025-10-30T11:26:27Z
@TualeCino-i6u6i,"masih salut sama Xiaomi 11 ultra kamera nya 120×zoom tanpa buram, bahkan mampu menyaingi kamera Samsung galaxy S24 ultra 👍💪🙏",0,2025-10-30T09:00:54Z
@Ramcin06,"bayangin ip ngeluarin series ada qwerty, gw yakin pada ikutan tuh pasti",0,2025-10-30T02:50:20Z
@mrr4063,Itu david pakai kacamata apa yaaa ?,0,2025-10-31T01:40:45Z
@I_am_groot313,Ya salah I-Phone sendiri sih modelnya malah ga iphone bgt malah kaca poco.. Dan xiaomi pun memasak,0,2025-10-30T00:58:49Z
@bocilkematian2086,gw user iphone dari iphone 4s 16gb tp makin kesini iphone makin overrated,0,2025-10-30T09:42:46Z
@dovapandu6691,penyakit throtlingnya xiaomi 12 yang mengganggu bakal turun ke xiaomi 17 series ini deh ,1,2025-10-30T10:41:07Z
@RanzzTuru-gp2gw,bang review redmagic 11 pro yang make teknologi liquid colling,0,2025-10-30T13:45:29Z
@Harmony77,Mantap,0,2025-10-30T23:38:40Z
@Cikal_alengka,"salah lu kalo xiomi di anggap niru ipong, justru mereka menyempurnakan dari mi 11 ultra",0,2025-10-29T22:34:30Z
@septionsbrededes6822,Yap penerus mi 11 ultra,0,2025-10-29T15:29:17Z
@KeaneNeko,Akhirnya ada update buat bahan pertimbangan ngambil 15t pro apa yang ini...,0,2025-10-29T15:21:29Z
@ahmadsolihin423,"layar belakangnya bisa dijadiin running text ngga bang pas ngevlog pake video blekang? jadi kya baca text di layar kecilnya, tapi tetep bikin viceo pake kamera belakang.",0,2025-10-30T02:44:21Z
@ziqialaudinnaufal729,Bang bikin rekomendasi HP buat akhir tahun ini 😁,0,2025-10-30T01:09:17Z
@deniprastiyo8146,"Dikonoha kan gak tau fitur fitur canggih,,yg penting produknya berlogo apel,,meskipun beli second udah merasa dia naik level😅",0,2025-10-30T07:52:06Z
@nazwarave,"""takut sial kuadrat""
double sama quarter itu 2:4 bang...",0,2025-10-29T23:57:41Z
@damaipangestu7459,Malah sebaliknya bang.. IPHONE jiplak poco. 🤭🤭,0,2025-10-30T11:47:07Z
@Prayoga_yoga,"Di layar belakangnya bisa buat main game , tapi harus di tambah case consoul buat operasikanya",3,2025-10-30T00:08:10Z
@inidiksaan,"Dulu hp pertama yg beli pake duit sendiri pas udah kerja xiaomi, dulu beli itu karna murah spek oke, makin kesini makin cinta sama Xiaomi karna bisa bersaing sama brand brand kelas kakap",36,2025-10-30T07:40:27Z
@hairi2884,Seperti biasa kelebihan android adalah kelemahan. Sebaliknya kelemahan iponge adalah kelebihan🗿 youtuber tomlol,0,2025-10-29T16:05:16Z
