author,comment,likeCount,publishedAt
@denidantez,MI max ada mi pro ada digabungin jadi promax,0,2025-10-30T05:01:19Z
@mazznur_1,Riview redmagic 11 pro plus bang,0,2025-10-29T15:49:34Z
@RaidenShogun-j8j,iQOO z10r kapan bang,0,2025-10-30T07:12:38Z
@untungsantoso9189,"namanya aja NIRU, XIOMI  17 PRO MAX.. ekor",0,2025-10-30T03:54:57Z
@sukrawanaguss3798,apa sih yng nggak di tandingi XIAOMI tesla dengan mobilnya aja ditandingi dengan XIAOMI SU7,0,2025-10-30T08:02:17Z
@sukrasiyoga9875,Masih nunggu Samsung s26 ultra nanti😊,0,2025-10-30T03:19:16Z
@aldocekrekofficial2213,Android tetap aja android,0,2025-10-31T01:12:49Z
@perfectnoods,tetep aja xiaomi😭,0,2025-10-30T11:34:51Z
@irfanwibowo1292,"Diawal saat buat ngegame jd panas, mungkin krn dobel layar dn makan baterai lebih banyak, mesin kerja ekstra bang.",0,2025-10-30T00:29:18Z
@SatriaPiningit-c4g,Oh ini chenel yutub yang kata seseekor pengguna fesnuk reviewnya dangkal sampai beliau terheran2 kenapa ni chenel bisa dapet 13jt subs  😂,0,2025-10-29T15:14:18Z
@abhiesuhendi2959,Iklannya Samsung s25 wkwkwkwkkw,0,2025-10-29T15:04:28Z
@Maulanaajaya,Untuk keamanan privasinya gimana bang,0,2025-10-29T15:27:05Z
@rendyachmadsyukur,Josssss bang David,0,2025-10-30T12:26:07Z
@galeriara1,"Saya sbg orang awam , langsung mikir iphone yg niru xiomi 😂
Apalagi kamera belakangnya yg lebih inovasi, dunia juga tau...siapaaa yg jadi....siapAnyaa 😅",0,2025-10-29T15:29:28Z
@TanakaKou_13,xiaomi udah duluan bang dari seri Xiaomi 11Ultra modelnya begitu juga belakangnya,0,2025-10-30T16:37:18Z
@riswannasaruddin4047,"ENAK YA JADI XIAOMI, DIMANA2 DAPAT PROMO GRATIS GARA2 DESAIN MIRIF IPHONE TERBARU 😊",0,2025-10-30T06:22:59Z
@nicolas24105,bang review Infinix note 50s dong 😅,1,2025-10-31T02:11:15Z
@laiacanarysolo5393,Tp mahal bgt ya,0,2025-10-30T15:14:30Z
@Zaky-Sanさん,"bg 
lu kenapa gk pernah pake wuthering waves buat gaming test selalu cuma genshin",0,2025-10-30T01:41:30Z
@gendonsevol,"kalo ga salah, di beberapa review luar, ada yg make screen belakang buat maen game, termasuk casingnya yg udah ada keypadnya.",0,2025-10-29T18:17:05Z
@AyenaCreated,Chipset SDnya kayaknya jelek,0,2025-10-30T11:42:28Z
@teoalfian825,Nyari yang bikin komen viral di fb,0,2025-10-30T01:17:11Z
@LuthfiFadilah,Mendingan iphone kalau gitu yah.,0,2025-10-30T10:41:10Z
@RaiPro-p6s,جاس,0,2025-10-30T15:55:26Z
@kuzunohacompany8891,"23:55 wow, udh pake meta Ray-Ban aja nih 😅",0,2025-10-29T15:01:29Z
@sigitarya1892,Still waiting stand alone video review iphone 17 pro n Co,0,2025-10-30T07:40:59Z
@setiawanarif8906,Weleh.. pakai xiaomi15T aja udah seneng banget sama kameranya. Ini malah udah keluar xiaomi 17 pro max😂,0,2025-10-30T12:07:10Z
@terminallapak,"Review yang sangat lengkap dan detail Bang David! Fitur layar belakang di Xiaomi 17 Pro Max ini memang inovasi yang berani dan berguna banget terutama buat selfie pakai kamera belakang. Kualitas videonya juga mantap, penjelasannya jelas dan menghibur. Keep up the great work Gadgetin! 👍",0,2025-10-30T07:28:42Z
