author,comment,likeCount,publishedAt
@ryuuzaki_moon,xiaomi lagi roasting iphone.. itu lubang belakang hp kan pas logo,0,2025-10-31T04:25:47Z
@anadhita9989,Andai gua ikhlas ngeluarin 😊15 jt buat ni hape alasan gua cuma satu : gambar kucing nya lucu banget 😂😂😂,0,2025-10-31T04:22:03Z
@EthancoolGame,Udah mahal gak dapet kepala charger...,0,2025-10-31T04:15:56Z
@ianhafizracman6956,Bang. Di tunggu rekomen hp akhir tahun nya😊,0,2025-10-31T04:07:07Z
@massabattofficial1872,"2% review 
98% isi sendiri",0,2025-10-31T04:06:30Z
@yaditanakmamaabah1656,"XIAOMI 17 MAX 🎉❤😈🚀💥 , 31 october 2025 , 12.05",0,2025-10-31T04:05:42Z
@KajumaGT3,Xiaomi mau nyaingi Ipong,1,2025-10-31T04:00:05Z
@abdulmunim7317,6:24 biar ga lecet bang makanya dikasih plastik bagian kamera😂,0,2025-10-31T03:58:46Z
@A_OviR,yaah kirain sekalian beli casing khusus juga buat main game di layar belakangnya bang.hehe,0,2025-10-31T03:53:00Z
@RastiZerii,"Bg itu layar belakang nya bisa dibuat main game pake casing tambahan.

Semoga di review ama bg David",0,2025-10-31T03:47:33Z
@Mokelcok,iPhone malah niru Poco produknya Mi Phone😂😂😂,1,2025-10-31T03:45:52Z
@aromaterapi2,Coba layar keduanya bisa dipakai untuk selfie kamera belakang ya..,0,2025-10-31T03:45:43Z
@AH-yz1bg,Udh fix hp idaman gua xiomi 17 njir...buat org estetik sangat berguna banget layar belakang,0,2025-10-31T03:41:02Z
@rusdarna5772,IQOO Z10R bang 🔥,0,2025-10-31T03:40:35Z
@Vechia632,Waduh suhunya ngeri ngeri sedap,0,2025-10-31T03:36:27Z
@AnggaSaptra-n1u,Bang bagi hp 1 ram 4 gpp 😢,0,2025-10-31T03:33:43Z
@cyintia_imut,Bg unboxing infinix gt 30 5g,0,2025-10-31T03:30:51Z
@sanireview4715,"Xiomi Poco inimah,iphone 17 yg niru poco😅",0,2025-10-31T03:30:50Z
@batonsafarikukuh,Kalau sy setuju mending semua hp ada layar blkg,0,2025-10-31T03:28:52Z
@datbodat5671,Kapan review Redmagic 11 Pro bg???,0,2025-10-31T03:28:48Z
@rudyantowidodo4948,"iphone dihina2 tapi tetep saja ya merek2 hp china ngikutin iphone , kadang lucu juga liatnya",0,2025-10-31T03:24:53Z
@Azzrhania,"Ini bner2 gebrakan xiaomi terbaik, dr model, kamera chipset",0,2025-10-31T03:24:42Z
@Vechia632,Masih nunggu vivo x300 pro,0,2025-10-31T03:22:57Z
